Time,FOPT,WOPR:WELL08P,WOPR:WELL09P,WOPR:WELL10P,WOPR:WELL11I,WOPR:WELL12P,WOPR:WELL14P,WOPR:WELL18P,WOPR:WELL19P,WOPR:WELL22P,FPR,WBHP:WELL08P,WBHP:WELL09P,WBHP:WELL10P,WBHP:WELL11I,WBHP:WELL12P,WBHP:WELL14P,WBHP:WELL18P,WBHP:WELL19P,WBHP:WELL22P,FWCT,WWCT:WELL08P,WWCT:WELL09P,WWCT:WELL10P,WWCT:WELL11I,WWCT:WELL12P,WWCT:WELL14P,WWCT:WELL18P,WWCT:WELL19P,WWCT:WELL22P,WLPR:WELL08P,WLPR:WELL09P,WLPR:WELL10P,WLPR:WELL11I,WLPR:WELL12P,WLPR:WELL14P,WLPR:WELL18P,WLPR:WELL19P,WLPR:WELL22P,WWPR:WELL08P,WWPR:WELL09P,WWPR:WELL10P,WWPR:WELL11I,WWPR:WELL12P,WWPR:WELL14P,WWPR:WELL18P,WWPR:WELL19P,WWPR:WELL22P,WGPR:WELL08P,WGPR:WELL09P,WGPR:WELL10P,WGPR:WELL11I,WGPR:WELL12P,WGPR:WELL14P,WGPR:WELL18P,WGPR:WELL19P,WGPR:WELL22P
2014-04-04 00:50:37,13500225.0,237.35928344726562,167.94046020507812,131.59011840820312,-0.0,229.74961853027344,131.65211486816406,144.4897003173828,110.94127655029297,197.10464477539062,113.1652603149414,50.0,50.0,50.0,253.90541076660156,50.0,50.0,50.0,50.0,50.0,0.08465822786092758,0.0028063098434358835,0.15611937642097473,0.14990901947021484,0.0,0.0031352767255157232,0.19128887355327606,0.003251570276916027,0.2500022053718567,0.003426886163651943,238.02725219726562,199.00973510742188,154.7953338623047,-0.0,230.4722137451172,162.79251098632812,144.9610595703125,147.92213439941406,197.7824249267578,0.6679782271385193,31.069276809692383,23.205217361450195,-0.0,0.7225942015647888,31.140396118164062,0.4713510572910309,36.980857849121094,0.6777778267860413,69553.6328125,68795.4921875,59489.375,-0.0,68715.8828125,59777.3203125,48770.578125,51090.03125,61583.69140625
2014-04-25 19:46:52,13529274.0,234.40892028808594,165.3884735107422,129.55177307128906,-0.0,226.91119384765625,129.65895080566406,142.9705047607422,109.34718322753906,194.9892120361328,112.6021957397461,50.0,50.0,50.0,253.40106201171875,50.0,50.0,50.0,50.0,50.0,0.08620673418045044,0.0028213774785399437,0.1591884344816208,0.15367689728736877,0.0,0.0031543225049972534,0.194301038980484,0.0032718600705266,0.25356733798980713,0.003446132643148303,235.0721435546875,196.70098876953125,153.07601928710938,-0.0,227.62921142578125,160.9272918701172,143.4398193359375,146.49302673339844,195.6634979248047,0.6632272601127625,31.31252098083496,23.524248123168945,-0.0,0.7180159687995911,31.268341064453125,0.4693150222301483,37.14584732055664,0.6742823719978333,69097.3671875,68098.03125,58832.71875,-0.0,68228.296875,59175.15234375,48432.91796875,50540.61328125,61109.234375
2014-06-08 09:40:04,13585877.0,228.66876220703125,160.40090942382812,125.49931335449219,-0.0,221.40126037597656,125.80059051513672,140.01324462890625,106.2426986694336,190.83685302734375,111.49348449707031,50.0,50.0,50.0,252.41932678222656,50.0,50.0,50.0,50.0,50.0,0.0893068015575409,0.0028525220695883036,0.16532351076602936,0.16137896478176117,0.0,0.003193521173670888,0.20032593607902527,0.0033121397718787193,0.260581374168396,0.0034853683318942785,229.3229217529297,192.17135620117188,149.6496124267578,-0.0,222.11058044433594,157.31483459472656,140.47853088378906,143.68409729003906,191.5043182373047,0.6541486978530884,31.770444869995117,24.150299072265625,-0.0,0.7093148827552795,31.514240264892578,0.465284526348114,37.44139862060547,0.6674630641937256,68179.6484375,66730.21875,57533.03125,-0.0,67250.6328125,57981.625,47761.54296875,49463.0703125,60168.93359375
2014-07-21 02:22:01,13639943.0,223.21946716308594,155.6900634765625,121.6134262084961,-0.0,216.1818389892578,122.20881652832031,137.2024383544922,103.31693267822266,186.87655639648438,110.42318725585938,50.0,50.0,50.0,251.48175048828125,50.0,50.0,50.0,50.0,50.0,0.09235535562038422,0.0028836913406848907,0.17134405672550201,0.1690632551908493,0.0,0.0032327729277312756,0.20620286464691162,0.0033513102680444717,0.267341285943985,0.0035239628050476313,223.8650360107422,187.88262939453125,146.3570098876953,-0.0,216.8829803466797,153.9547119140625,137.66378784179688,141.01644897460938,187.5374298095703,0.6455576419830322,32.19257354736328,24.743593215942383,-0.0,0.7011334300041199,31.74590301513672,0.4613540768623352,37.69951629638672,0.6608749032020569,67278.3046875,65435.9921875,56290.6171875,-0.0,66285.7265625,56827.19921875,47106.94140625,48426.74609375,59257.9375
2014-10-14 11:45:56,13742851.0,212.973388671875,146.8001251220703,114.49285125732422,-0.0,206.3703155517578,115.46725463867188,131.90663146972656,97.79612731933594,179.3182373046875,108.35514831542969,50.0,50.0,50.0,249.65087890625,50.0,50.0,50.0,50.0,50.0,0.09847438335418701,0.0029475600458681583,0.183481365442276,0.1843574047088623,0.0,0.0033118478022515774,0.21812325716018677,0.003428031224757433,0.2805787920951843,0.0036008059978485107,213.60299682617188,179.787841796875,140.37135314941406,-0.0,207.05604553222656,147.6796112060547,132.36036682128906,135.93724060058594,179.96624755859375,0.6296076774597168,32.98772048950195,25.878496170043945,-0.0,0.6857380867004395,32.21235656738281,0.45373550057411194,38.14110565185547,0.6480235457420349,65486.1015625,62941.51171875,53898.67578125,-0.0,64361.42578125,54591.38671875,45819.73046875,46428.68359375,57486.0
2015-01-12 00:00:00,13845409.0,202.9876251220703,138.35276794433594,107.80923461914062,-0.0,196.9292449951172,108.82176971435547,126.68299102783203,92.44051361083984,171.7603302001953,106.2691421508789,50.0,50.0,50.0,247.7899932861328,50.0,50.0,50.0,50.0,50.0,0.10490567237138748,0.003016310278326273,0.19617459177970886,0.20001563429832458,0.0,0.00339307077229023,0.23094609379768372,0.0035071144811809063,0.2941478192806244,0.0036812410689890385,203.60174560546875,172.11793518066406,134.76417541503906,-0.0,197.59971618652344,141.50083923339844,127.12884521484375,130.96299743652344,172.39495849609375,0.6141260266304016,33.76516342163086,26.954940795898438,-0.0,0.6704698204994202,32.6790657043457,0.44585543870925903,38.52248001098633,0.6346274018287659,63609.97265625,60471.71484375,51517.14453125,-0.0,62373.6953125,52319.84765625,44489.70703125,44406.359375,55672.9375
2015-03-26 20:49:27,13926623.0,195.23040771484375,131.7833709716797,102.54533386230469,-0.0,189.6494903564453,103.58670806884766,122.5678939819336,88.30368041992188,165.78611755371094,104.60089874267578,50.0,50.0,50.0,246.19715881347656,50.0,50.0,50.0,50.0,50.0,0.11021438986063004,0.003073593834415078,0.20681607723236084,0.21304185688495636,0.0,0.003459545783698559,0.24158500134944916,0.003571317298337817,0.30495384335517883,0.0037468201480805874,195.8323211669922,166.144775390625,130.3059539794922,-0.0,190.30787658691406,136.58314514160156,123.00718688964844,127.04722595214844,166.4096221923828,0.6019089818000793,34.36140823364258,27.760622024536133,-0.0,0.6583787798881531,32.99644088745117,0.43929770588874817,38.7435417175293,0.6235069632530212,62057.390625,58516.08984375,49630.2890625,-0.0,60744.75390625,50493.28125,43405.12890625,42784.95703125,54208.15625
2015-05-14 14:52:58,13978791.0,190.3024444580078,127.59583282470703,99.20124053955078,-0.0,185.03733825683594,100.30840301513672,119.93172454833984,85.69351959228516,161.9730987548828,103.52165985107422,50.0,50.0,50.0,245.1799774169922,50.0,50.0,50.0,50.0,50.0,0.1137145534157753,0.0031112527940422297,0.21390849351882935,0.22169244289398193,0.0,0.0035034031607210636,0.2485271692276001,0.0036131907254457474,0.3119103014469147,0.0037892700638622046,190.89637756347656,162.3167724609375,127.45763397216797,-0.0,185.68788146972656,133.48240661621094,120.36663055419922,124.53829956054688,162.5891876220703,0.5939269065856934,34.7209358215332,28.25639533996582,-0.0,0.6505395174026489,33.174007415771484,0.43490761518478394,38.84477615356445,0.6160943508148193,61029.94140625,57249.16015625,48409.4609375,-0.0,59671.6015625,49301.65625,42695.33203125,41732.1328125,53262.609375
2015-06-15 19:07:30,14012610.0,187.12403869628906,124.83759307861328,97.04053497314453,-0.0,182.06838989257812,98.18781280517578,118.22197723388672,84.04888153076172,159.51507568359375,102.81857299804688,50.0,50.0,50.0,244.52182006835938,50.0,50.0,50.0,50.0,50.0,0.11600933223962784,0.003136146580800414,0.21858806908130646,0.22741439938545227,0.0,0.0035323449410498142,0.25312671065330505,0.0036406833678483963,0.31634706258773804,0.0038170157931745052,187.7127227783203,159.75900268554688,125.60490417480469,-0.0,182.71380615234375,131.46514892578125,118.65396118164062,122.94086456298828,160.12628173828125,0.5886946320533752,34.92141342163086,28.564363479614258,-0.0,0.6454081535339355,33.277339935302734,0.43198150396347046,38.89198303222656,0.6112045049667358,60350.375,56410.8984375,47616.3125,-0.0,58963.62890625,48523.96484375,42229.1640625,41047.34765625,52647.78515625
2015-08-19 03:35:51,14077901.0,181.05455017089844,119.52303314208984,92.96641540527344,-0.0,176.37355041503906,94.05860900878906,114.91898345947266,80.95771026611328,154.71876525878906,101.44996643066406,50.0,50.0,50.0,243.25640869140625,50.0,50.0,50.0,50.0,50.0,0.12055139243602753,0.0031852927058935165,0.2278941571712494,0.23858670890331268,0.0,0.003589541418477893,0.2624175250530243,0.003694192972034216,0.3248809576034546,0.003873796435073018,181.6331024169922,154.80136108398438,122.09717559814453,-0.0,177.00892639160156,127.5228271484375,115.34508514404297,119.91619873046875,155.3204345703125,0.5785545706748962,35.27832794189453,29.13076400756836,-0.0,0.6353808641433716,33.4642219543457,0.4261070191860199,38.95848846435547,0.6016797423362732,59006.109375,54737.19921875,46053.5234375,-0.0,57563.68359375,46998.265625,41319.07421875,39754.61328125,51446.609375
2015-10-06 14:39:36,14125782.0,176.64324951171875,115.67398071289062,90.04615020751953,-0.0,172.21128845214844,91.09439849853516,112.49427795410156,78.69828033447266,151.17437744140625,100.44002532958984,50.0,50.0,50.0,242.33062744140625,50.0,50.0,50.0,50.0,50.0,0.1239761933684349,0.0032225623726844788,0.23493531346321106,0.24690143764019012,0.0,0.00363265722990036,0.269355446100235,0.003733851481229067,0.3312899172306061,0.003917364403605461,177.21434020996094,151.19503784179688,119.56754302978516,-0.0,172.8391571044922,124.67676544189453,112.9158935546875,117.68669128417969,151.7689208984375,0.5710842609405518,35.521053314208984,29.521398544311523,-0.0,0.6278654336929321,33.582366943359375,0.4216111898422241,38.9884147644043,0.594534158706665,57995.82421875,53484.23828125,44907.48828125,-0.0,56516.32421875,45890.6953125,40645.515625,38820.7109375,50552.58203125
2016-01-13 00:00:00,14218000.0,168.23423767089844,108.45051574707031,84.48667907714844,-0.0,164.21990966796875,85.44197082519531,107.76525115966797,74.37068176269531,144.30613708496094,98.47562408447266,50.0,50.0,50.0,240.5499725341797,50.0,50.0,50.0,50.0,50.0,0.13076801598072052,0.0032982905395329,0.2488725632429123,0.2633187472820282,0.0,0.0037189882714301348,0.2831284999847412,0.0038140553515404463,0.34379833936691284,0.004006460774689913,168.79095458984375,144.38363647460938,114.68553161621094,-0.0,164.8329315185547,119.18729400634766,108.17784881591797,113.33509826660156,144.88661193847656,0.5567216277122498,35.933128356933594,30.198850631713867,-0.0,0.6130117177963257,33.74531936645508,0.41259628534317017,38.96441650390625,0.580482542514801,55968.5703125,51023.92578125,42694.13671875,-0.0,54442.20703125,43740.5,39318.18359375,37022.2109375,48788.23828125
2016-03-28 09:02:48,14285868.0,162.21739196777344,103.16524505615234,80.56009674072266,-0.0,158.42062377929688,81.31441497802734,104.28158569335938,71.16384887695312,139.27313232421875,97.01959991455078,50.0,50.0,50.0,239.23593139648438,50.0,50.0,50.0,50.0,50.0,0.1359216421842575,0.003355465130880475,0.25968438386917114,0.27543890476226807,0.0,0.003783852094784379,0.2936575412750244,0.003875065827742219,0.35338959097862244,0.004074122291058302,162.76353454589844,139.35305786132812,111.18467712402344,-0.0,159.0223388671875,115.12037658691406,104.68724822998047,110.0567626953125,139.84288024902344,0.546147346496582,36.18781280517578,30.62458610534668,-0.0,0.6017169952392578,33.80596923828125,0.4056699872016907,38.892913818359375,0.5697369575500488,54449.30078125,49200.9765625,41094.1328125,-0.0,52892.27734375,42138.46875,38323.3046875,35679.69921875,47457.85546875
2016-05-17 03:00:42,14329495.0,158.38565063476562,99.77519989013672,78.12902069091797,-0.0,154.70367431640625,78.74720764160156,102.04344177246094,69.10782623291016,136.0467987060547,96.07997131347656,50.0,50.0,50.0,238.3891143798828,50.0,50.0,50.0,50.0,50.0,0.13932177424430847,0.0033931899815797806,0.26696035265922546,0.28319498896598816,0.0,0.0038267846684902906,0.300470232963562,0.003915117587894201,0.3597363829612732,0.004118382465094328,158.92491149902344,136.11160278320312,108.9961929321289,-0.0,155.2979736328125,112.57164001464844,102.44451904296875,107.93651580810547,136.60940551757812,0.5392624139785767,36.33639907836914,30.867177963256836,-0.0,0.5942919254302979,33.82442855834961,0.4010823369026184,38.82868957519531,0.5626097321510315,53454.796875,48011.515625,40063.32421875,-0.0,51884.6484375,41095.89453125,37675.62890625,34803.95703125,46589.015625
2016-08-24 14:56:29,14412359.0,151.2201385498047,93.36129760742188,73.55757141113281,-0.0,147.6642303466797,74.05631256103516,97.76599884033203,65.23374938964844,129.9685516357422,94.28408813476562,50.0,50.0,50.0,236.76841735839844,50.0,50.0,50.0,50.0,50.0,0.1459921896457672,0.003466134425252676,0.28156694769859314,0.2981918454170227,0.0,0.003912519663572311,0.31346678733825684,0.0039934818632900715,0.37215298414230347,0.004206235054880381,151.74610900878906,129.9512939453125,104.81150817871094,-0.0,148.24424743652344,107.86996459960938,98.15798950195312,103.90071105957031,130.5175323486328,0.5259724259376526,36.58998489379883,31.253934860229492,-0.0,0.5800085067749023,33.81365203857422,0.3919921815395355,38.666961669921875,0.5489874482154846,51517.078125,45697.40234375,38103.5234375,-0.0,49934.01953125,39090.546875,36418.265625,33123.9921875,44933.44140625
2016-10-10 06:39:22,14450281.0,147.98016357421875,90.4396743774414,71.49429321289062,-0.0,144.4658966064453,71.96269226074219,95.80455017089844,63.47435760498047,127.19496154785156,93.4598617553711,50.0,50.0,50.0,236.02134704589844,50.0,50.0,50.0,50.0,50.0,0.14911022782325745,0.0034995200112462044,0.2885464131832123,0.3050839900970459,0.0,0.003952337428927422,0.31946665048599243,0.004029945470392704,0.3779468238353729,0.004247691947966814,148.49984741210938,127.11956787109375,102.88191986083984,-0.0,145.0391387939453,105.74455261230469,96.19219970703125,102.04007720947266,127.737548828125,0.5196781754493713,36.679893493652344,31.38762855529785,-0.0,0.5732436180114746,33.7818603515625,0.3876492977142334,38.56572341918945,0.5425897240638733,50618.3515625,44631.765625,37223.34765625,-0.0,49028.53515625,38168.515625,35833.47265625,32356.3046875,44166.99609375
2016-11-10 12:51:19,14475279.0,145.85824584960938,88.52032470703125,70.14634704589844,-0.0,142.3668975830078,70.63191986083984,94.51049041748047,62.314186096191406,125.37181091308594,92.91555786132812,50.0,50.0,50.0,235.52764892578125,50.0,50.0,50.0,50.0,50.0,0.15119148790836334,0.003521658480167389,0.2932674288749695,0.30965515971183777,0.0,0.003978789318352938,0.3233500123023987,0.004054181277751923,0.38183489441871643,0.004275438375771046,146.37371826171875,125.2529296875,101.610595703125,-0.0,142.93560791015625,104.38472747802734,94.89521026611328,100.80508422851562,125.9101333618164,0.515478253364563,36.732601165771484,31.464242935180664,-0.0,0.5687106847763062,33.752803802490234,0.38472241163253784,38.49089813232422,0.5383210182189941,50019.5546875,43927.58203125,36644.09375,-0.0,48427.5078125,37572.49609375,35444.52734375,31845.12890625,43657.43359375
2016-12-01 11:29:45,14491846.0,144.4560546875,87.25615692138672,69.26433563232422,-0.0,140.97817993164062,69.74573516845703,93.65165710449219,61.551029205322266,124.16666412353516,92.55435943603516,50.0,50.0,50.0,235.19985961914062,50.0,50.0,50.0,50.0,50.0,0.15258406102657318,0.0035364441573619843,0.2964329719543457,0.31267857551574707,0.0,0.003996457904577255,0.32598966360092163,0.004070349503308535,0.3844064474105835,0.004293942824006081,144.96873474121094,124.0196762084961,100.77430725097656,-0.0,141.54385375976562,103.4787368774414,94.03440856933594,99.9864730834961,124.7021255493164,0.5126737952232361,36.763519287109375,31.509965896606445,-0.0,0.5656740069389343,33.73299789428711,0.382752925157547,38.435447692871094,0.535463809967041,49620.2421875,43459.0546875,36260.53125,-0.0,48027.37109375,37176.625,35185.23046875,31504.640625,43317.97265625
2017-01-13 00:00:00,14524758.0,141.68743896484375,84.82029724121094,67.51779174804688,-0.0,138.24034118652344,67.98221588134766,91.94141387939453,60.047969818115234,121.76786041259766,91.83506774902344,50.0,50.0,50.0,234.54615783691406,50.0,50.0,50.0,50.0,50.0,0.15536250174045563,0.0035660909488797188,0.30259862542152405,0.31877243518829346,0.0,0.004031877499073744,0.3313693106174469,0.004102673847228289,0.38947349786758423,0.004331557545810938,142.19451904296875,121.62335968017578,99.11194610595703,-0.0,138.7999725341797,101.67378997802734,92.32017517089844,98.35440063476562,122.29759979248047,0.5070785880088806,36.803062438964844,31.59415626525879,-0.0,0.5596244931221008,33.69157409667969,0.37875956296920776,38.30643081665039,0.5297390818595886,48821.609375,42523.2890625,35497.32421875,-0.0,47229.78125,36388.18359375,34666.27734375,30827.24609375,42640.4921875
