Time,FOPT,FGPT,FWPT,FWIT,WOPR:WELL08P,WOPR:WELL09P,WOPR:WELL10P,WOPR:WELL11I,WOPR:WELL12P,WOPR:WELL14P,WOPR:WELL18P,WOPR:WELL19P,WOPR:WELL22P,FPR,WBHP:WELL08P,WBHP:WELL09P,WBHP:WELL10P,WBHP:WELL11I,WBHP:WELL12P,WBHP:WELL14P,WBHP:WELL18P,WBHP:WELL19P,WBHP:WELL22P,FWCT,WWCT:WELL08P,WWCT:WELL09P,WWCT:WELL10P,WWCT:WELL11I,WWCT:WELL12P,WWCT:WELL14P,WWCT:WELL18P,WWCT:WELL19P,WWCT:WELL22P,WLPR:WELL08P,WLPR:WELL09P,WLPR:WELL10P,WLPR:WELL11I,WLPR:WELL12P,WLPR:WELL14P,WLPR:WELL18P,WLPR:WELL19P,WLPR:WELL22P,WWPR:WELL08P,WWPR:WELL09P,WWPR:WELL10P,WWPR:WELL11I,WWPR:WELL12P,WWPR:WELL14P,WWPR:WELL18P,WWPR:WELL19P,WWPR:WELL22P,WGPR:WELL08P,WGPR:WELL09P,WGPR:WELL10P,WGPR:WELL11I,WGPR:WELL12P,WGPR:WELL14P,WGPR:WELL18P,WGPR:WELL19P,WGPR:WELL22P
2005-12-28 19:12:04,3098831.5,740381440.0,10046.365234375,1554480.0,94.4232177734375,76.06764221191406,55.538719177246094,-0.0,94.46141815185547,82.54924011230469,69.48603057861328,64.9776840209961,85.60160827636719,128.96632385253906,50.0,50.0,50.0,620.4972534179688,50.0,50.0,50.0,50.0,50.0,0.0619739294052124,0.0022652025800198317,0.11319328099489212,0.22369830310344696,0.0,0.0025664581917226315,0.0515560582280159,0.0022652894258499146,0.13505125045776367,0.002404544036835432,94.6375961303711,85.77702331542969,71.5427017211914,-0.0,94.7044677734375,87.0364990234375,69.64379119873047,75.12316131591797,85.80793762207031,0.21437332034111023,9.709383010864258,16.00398063659668,-0.0,0.2430550754070282,4.4872589111328125,0.15776334702968597,10.145476341247559,0.20632895827293396,42373.01171875,30216.26171875,19393.88671875,-0.0,42121.921875,31320.1015625,29042.953125,22663.232421875,36224.19921875
2006-01-14 23:24:08,3109333.25,744664640.0,10798.9501953125,1569078.75,93.38619995117188,74.0494155883789,53.88964080810547,-0.0,93.37499237060547,80.5268783569336,68.73475646972656,62.939453125,84.55421447753906,128.38897705078125,50.0,50.0,50.0,620.3252563476562,50.0,50.0,50.0,50.0,50.0,0.06687068194150925,0.002285428112372756,0.12297219783067703,0.2374783605337143,0.0,0.002591499360278249,0.058592770248651505,0.0022875710856169462,0.14669831097126007,0.0024302233941853046,93.60011291503906,84.43223571777344,70.67293548583984,-0.0,93.61759948730469,85.53883361816406,68.8923568725586,73.75990295410156,84.76020050048828,0.2139163315296173,10.382817268371582,16.783292770385742,-0.0,0.24260996282100677,5.011957168579102,0.157596156001091,10.820453643798828,0.20598621666431427,42142.5234375,29266.177734375,18833.126953125,-0.0,41879.7421875,30358.34765625,28902.251953125,21990.73828125,36014.3828125
2006-02-01 03:35:51,3119635.0,748880384.0,11597.7998046875,1583677.5,92.36518096923828,72.02312469482422,52.22806167602539,-0.0,92.3089599609375,78.44446563720703,67.99629974365234,60.905643463134766,83.52619934082031,127.8198471069336,50.0,50.0,50.0,620.1580200195312,50.0,50.0,50.0,50.0,50.0,0.07196598500013351,0.002305455505847931,0.13292555510997772,0.2517825663089752,0.0,0.0026163430884480476,0.06622837483882904,0.002309665782377124,0.1589825600385666,0.002455725334584713,92.57861328125,83.06452178955078,69.8033218383789,-0.0,92.55110168457031,84.00819396972656,68.1537094116211,72.41899871826172,83.73181915283203,0.21343585848808289,11.041398048400879,17.575258255004883,-0.0,0.24214543402194977,5.563726425170898,0.1574123054742813,11.513357162475586,0.2056223452091217,41910.20703125,28364.61328125,18276.201171875,-0.0,41636.5078125,29380.767578125,28761.486328125,21324.322265625,35802.91796875
2006-02-18 07:47:55,3129742.0,753030080.0,12443.240234375,1598276.25,91.36044311523438,70.03651428222656,50.60872268676758,-0.0,91.2629623413086,76.47713470458984,67.27558898925781,58.94559860229492,82.51726531982422,127.2588882446289,50.0,50.0,50.0,619.9951782226562,50.0,50.0,50.0,50.0,50.0,0.07719045132398605,0.002325284294784069,0.14303280413150787,0.26633310317993164,0.0,0.0026409500278532505,0.07420575618743896,0.002331164199858904,0.17167529463768005,0.0024809534661471844,91.57337951660156,81.72602081298828,68.98051452636719,-0.0,91.50462341308594,82.6070556640625,67.43278503417969,71.16242980957031,82.72249603271484,0.21293415129184723,11.689501762390137,18.371793746948242,-0.0,0.24165911972522736,6.129919052124023,0.15719687938690186,12.21683120727539,0.20523065328598022,41676.53515625,27508.576171875,17730.080078125,-0.0,41392.22265625,28444.166015625,28614.873046875,20657.072265625,35589.74609375
2006-03-07 12:00:00,3139661.75,757115392.0,13335.48046875,1612875.0,90.37132263183594,68.10118103027344,49.04864501953125,-0.0,90.23709106445312,74.62477111816406,66.57498931884766,57.080787658691406,81.52540588378906,126.70582580566406,50.0,50.0,50.0,619.836669921875,50.0,50.0,50.0,50.0,50.0,0.082523874938488,0.0023449333384633064,0.15334932506084442,0.281014084815979,0.0,0.0026652729138731956,0.0824400931596756,0.0023524146527051926,0.18462076783180237,0.0025059361942112446,90.58373260498047,80.43598937988281,68.21920013427734,-0.0,90.47824096679688,81.32958984375,66.73197174072266,70.00520324707031,81.73021697998047,0.21241281926631927,12.33480453491211,19.170555114746094,-0.0,0.24114921689033508,6.7048187255859375,0.15698125958442688,12.92441463470459,0.2048107087612152,41441.4296875,26680.990234375,17191.1484375,-0.0,41146.91015625,27554.6015625,28475.466796875,19997.5078125,35374.97265625
2006-03-24 16:12:04,3149398.5,761137408.0,14274.68359375,1627473.75,89.39756774902344,66.2397232055664,47.490562438964844,-0.0,89.22879028320312,72.78549194335938,65.88455963134766,55.33073425292969,80.55023956298828,126.16131591796875,50.0,50.0,50.0,619.6829223632812,50.0,50.0,50.0,50.0,50.0,0.08797463029623032,0.002364409388974309,0.16384294629096985,0.2960430383682251,0.0,0.0026893464382737875,0.09103196859359741,0.002373636467382312,0.19764970242977142,0.0025306683965027332,89.60944366455078,79.21923828125,67.4623031616211,-0.0,89.46939849853516,80.07485961914062,66.04131317138672,68.96082305908203,80.75460052490234,0.21187341213226318,12.979513168334961,19.971744537353516,-0.0,0.24061422049999237,7.289372444152832,0.15675808489322662,13.630084991455078,0.20436310768127441,41205.07421875,25874.810546875,16652.1953125,-0.0,40900.70703125,26679.099609375,28335.986328125,19373.861328125,35158.87890625
2006-04-10 20:24:08,3158958.0,765098048.0,15260.8056640625,1642072.5,88.44120025634766,64.4652328491211,45.946998596191406,-0.0,88.2405014038086,70.933837890625,65.2082290649414,53.773494720458984,79.59107971191406,125.62531280517578,50.0,50.0,50.0,619.5336303710938,50.0,50.0,50.0,50.0,50.0,0.09350907802581787,0.0023837462067604065,0.17444241046905518,0.31124669313430786,0.0,0.002713155932724476,0.10000717639923096,0.0023945875000208616,0.21049757301807404,0.0025551612488925457,88.65252685546875,78.08689880371094,66.71038818359375,-0.0,88.48056030273438,78.81600189208984,65.36474609375,68.11061096191406,79.79496765136719,0.21132512390613556,13.621665954589844,20.763385772705078,-0.0,0.24006155133247375,7.882165908813477,0.15652161836624146,14.337118148803711,0.20388899743556976,40964.5,25091.97265625,16126.5478515625,-0.0,40650.81640625,25829.03125,28195.859375,18803.037109375,34941.6171875
2006-04-28 00:35:51,3168343.0,768998784.0,16293.671875,1656671.25,87.50737762451172,62.7470817565918,44.435997009277344,-0.0,87.28304290771484,69.05143737792969,64.54423522949219,52.20851516723633,78.65003204345703,125.09758758544922,50.0,50.0,50.0,619.3881225585938,50.0,50.0,50.0,50.0,50.0,0.09914468973875046,0.002402830170467496,0.18519796431064606,0.3264073431491852,0.0,0.002736527007073164,0.10941603779792786,0.0024152991827577353,0.223759725689888,0.0025793202221393585,87.71815490722656,77.00898742675781,65.9686508178711,-0.0,87.52255249023438,77.5350112915039,64.70050811767578,67.25818634033203,78.8534164428711,0.2107718139886856,14.261907577514648,21.532651901245117,-0.0,0.23950782418251038,8.483573913574219,0.1562710851430893,15.049674034118652,0.20338821411132812,40716.57421875,24342.880859375,15631.8681640625,-0.0,40390.07421875,24999.97265625,28055.298828125,18257.81640625,34723.265625
2006-05-15 04:47:55,3177556.25,772841152.0,17373.087890625,1671270.0,86.5931167602539,61.130001068115234,42.95849609375,-0.0,86.34723663330078,67.19340515136719,63.891258239746094,50.60708236694336,77.72309875488281,124.57766723632812,50.0,50.0,50.0,619.2460327148438,50.0,50.0,50.0,50.0,50.0,0.10487069189548492,0.002421641256660223,0.19601193070411682,0.3414640426635742,0.0,0.002759503899142146,0.11919444054365158,0.002435810398310423,0.23756973445415497,0.0026032517198473215,86.8033218383789,76.0334701538086,65.23333740234375,-0.0,86.58616638183594,76.28630828857422,64.0472640991211,66.37601470947266,77.92595672607422,0.2102065235376358,14.90346622467041,22.274839401245117,-0.0,0.23893485963344574,9.092904090881348,0.15600699186325073,15.768932342529297,0.20286087691783905,40463.28125,23640.484375,15150.3798828125,-0.0,40127.34375,24200.837890625,27914.25,17716.0234375,34504.05859375
2006-06-01 09:00:00,3186601.75,776626624.0,18498.85546875,1685868.75,85.68989562988281,59.494564056396484,41.56962203979492,-0.0,85.4192886352539,65.39949798583984,63.248870849609375,49.036041259765625,76.80960845947266,124.06562042236328,50.0,50.0,50.0,619.1075439453125,50.0,50.0,50.0,50.0,50.0,0.11068091541528702,0.0024403012357652187,0.20728614926338196,0.35612592101097107,0.0,0.0027824046555906534,0.12927645444869995,0.002456124871969223,0.2515603303909302,0.0026269706431776285,85.89952087402344,75.05175018310547,64.56172943115234,-0.0,85.65762329101562,75.109375,63.40460205078125,65.51769256591797,77.01191711425781,0.20962071418762207,15.557188987731934,22.99210548400879,-0.0,0.23833416402339935,9.70987319946289,0.15572962164878845,16.481653213500977,0.2023080587387085,40211.22265625,22968.9375,14680.4169921875,-0.0,39865.77734375,23437.46484375,27772.666015625,17186.205078125,34284.11328125
2006-06-18 13:12:04,3195483.75,780356608.0,19670.625,1700467.5,84.79313659667969,57.79389953613281,40.225337982177734,-0.0,84.49893188476562,63.747962951660156,62.61650085449219,47.54973220825195,75.91098022460938,123.56118774414062,50.0,50.0,50.0,618.972412109375,50.0,50.0,50.0,50.0,50.0,0.11655246466398239,0.0024589248932898045,0.21924535930156708,0.37061136960983276,0.0,0.002805248601362109,0.13945341110229492,0.0024762521497905254,0.26535820960998535,0.0026504448615014553,85.00215148925781,74.02312469482422,63.911766052246094,-0.0,84.73663330078125,74.07846069335938,62.771942138671875,64.72505950927734,76.11270904541016,0.2090139091014862,16.22922706604004,23.68642807006836,-0.0,0.23770733177661896,10.330493927001953,0.15543915331363678,17.175325393676758,0.20173253118991852,39960.8046875,22306.59375,14221.6845703125,-0.0,39605.71484375,22707.470703125,27630.595703125,16679.80859375,34063.6015625
2006-07-05 17:24:08,3204206.5,784032512.0,20888.236328125,1715066.25,83.90515899658203,56.21113586425781,38.9260139465332,-0.0,83.58841705322266,62.132198333740234,61.994781494140625,46.09001159667969,75.0272216796875,123.06422424316406,50.0,50.0,50.0,618.8399047851562,50.0,50.0,50.0,50.0,50.0,0.12249165028333664,0.0024774563498795033,0.2314310371875763,0.38492825627326965,0.0,0.0028279926627874374,0.14984874427318573,0.00249614124186337,0.27921295166015625,0.0026736778672784567,84.1135482788086,73.13739776611328,63.28694534301758,-0.0,83.82547760009766,73.08369445800781,62.14991760253906,63.944007873535156,75.22835540771484,0.20838762819766998,16.926265716552734,24.36093521118164,-0.0,0.23705783486366272,10.95150089263916,0.15513497591018677,17.853994369506836,0.20113639533519745,39712.0625,21669.5859375,13773.3017578125,-0.0,39347.1171875,22009.337890625,27488.1640625,16183.037109375,33842.734375
2006-07-22 21:35:51,3212773.25,787655872.0,22151.787109375,1729665.0,83.0269775390625,54.65011215209961,37.7437858581543,-0.0,82.68966674804688,60.495140075683594,61.38364028930664,44.65380859375,74.15848541259766,122.57450103759766,50.0,50.0,50.0,618.710205078125,50.0,50.0,50.0,50.0,50.0,0.12853403389453888,0.0024958562571555376,0.24409911036491394,0.3987191915512085,0.0,0.002850600518286228,0.16059014201164246,0.002515762113034725,0.2931564748287201,0.0026966670993715525,83.23472595214844,72.29798889160156,62.77231216430664,-0.0,82.92605590820312,72.06865692138672,61.538455963134766,63.17353820800781,74.3590087890625,0.2077419012784958,17.64787483215332,25.02852439880371,-0.0,0.23638905584812164,11.573515892028809,0.15481612086296082,18.519731521606445,0.20052148401737213,39464.546875,21055.880859375,13351.2197265625,-0.0,39089.6875,21346.21875,27345.66796875,15692.7978515625,33621.8046875
2006-08-09 01:47:55,3221187.0,791227904.0,23461.060546875,1744263.75,82.16015625,53.0966911315918,36.6042594909668,-0.0,81.803955078125,58.867706298828125,60.781673431396484,43.25246810913086,73.3123550415039,122.09178161621094,50.0,50.0,50.0,618.5826416015625,50.0,50.0,50.0,50.0,50.0,0.13465812802314758,0.0025140568614006042,0.257189005613327,0.4123576283454895,0.0,0.002873034914955497,0.17162524163722992,0.0025351697113364935,0.30707889795303345,0.0027193548157811165,82.36723327636719,71.48075866699219,62.2900276184082,-0.0,82.03965759277344,71.06410217285156,60.9361572265625,62.42047882080078,73.51226043701172,0.20707589387893677,18.384063720703125,25.685768127441406,-0.0,0.23570279777050018,12.196393013000488,0.15448349714279175,19.168010711669922,0.1999059021472931,39218.41015625,20459.41015625,12941.1943359375,-0.0,38833.390625,20708.234375,27203.09765625,15222.1591796875,33394.01953125
2006-08-26 06:00:00,3229450.0,794749760.0,24815.60546875,1758862.5,81.30804443359375,51.583065032958984,35.47024917602539,-0.0,80.93134307861328,57.27408981323242,60.18832778930664,41.87016296386719,72.48479461669922,121.61595916748047,50.0,50.0,50.0,618.4571533203125,50.0,50.0,50.0,50.0,50.0,0.1408400535583496,0.0025319478008896112,0.27051299810409546,0.42599523067474365,0.0,0.002895289333537221,0.18290545046329498,0.0025543866213411093,0.32105451822280884,0.0027418509125709534,81.51443481445312,70.71142578125,61.79434585571289,-0.0,81.16634368896484,70.09481048583984,60.34246826171875,61.669403076171875,72.68408203125,0.20639029145240784,19.128360748291016,26.3240966796875,-0.0,0.23500005900859833,12.820722579956055,0.15413798391819,19.799240112304688,0.19928891956806183,38973.65625,19867.890625,12540.1142578125,-0.0,38578.078125,20107.810546875,27060.458984375,14765.3984375,33160.39453125
2006-09-12 10:12:04,3237566.25,798222080.0,26215.099609375,1773461.25,80.47157287597656,50.16786193847656,34.348121643066406,-0.0,80.07782745361328,55.70949172973633,59.603271484375,40.51069259643555,71.66351318359375,121.14708709716797,50.0,50.0,50.0,618.33349609375,50.0,50.0,50.0,50.0,50.0,0.1470739096403122,0.0025494906585663557,0.2837788760662079,0.4395899772644043,0.0,0.0029171952046453953,0.19450855255126953,0.0025734242517501116,0.33512425422668457,0.002764361212030053,80.67726135253906,70.04521179199219,61.29105758666992,-0.0,80.31211853027344,69.16211700439453,59.757049560546875,60.92972183227539,71.86216735839844,0.20568591356277466,19.877351760864258,26.942934036254883,-0.0,0.2342861294746399,13.452622413635254,0.1537802368402481,20.41902732849121,0.198652982711792,38729.83984375,19285.3671875,12151.1337890625,-0.0,38321.55078125,19529.498046875,26917.736328125,14311.9765625,32927.64453125
2006-09-29 14:24:08,3245540.25,801646272.0,27659.50390625,1788060.0,79.66178894042969,48.776573181152344,33.30643081665039,-0.0,79.24205017089844,54.19412612915039,59.02735137939453,39.229736328125,70.84868621826172,120.68472290039062,50.0,50.0,50.0,618.2116088867188,50.0,50.0,50.0,50.0,50.0,0.15335771441459656,0.0025664495769888163,0.2972916066646576,0.45264682173728943,0.0,0.002938763005658984,0.2064722776412964,0.0025922153145074844,0.3489782512187958,0.0027868112083524466,79.86676025390625,69.4122543334961,60.849979400634766,-0.0,79.47561645507812,68.2951889038086,59.18075942993164,60.25872039794922,71.04667663574219,0.2049740105867386,20.63568115234375,27.543548583984375,-0.0,0.2335599958896637,14.10106372833252,0.15340927243232727,21.028982162475586,0.1979936808347702,38490.27734375,18709.568359375,11778.0986328125,-0.0,38063.94921875,18986.0703125,26774.7265625,13870.150390625,32696.28125
2006-10-16 18:35:51,3253377.25,805023360.0,29148.748046875,1802658.75,78.87895202636719,47.39567565917969,32.31552505493164,-0.0,78.4228286743164,52.667457580566406,58.45936965942383,38.111289978027344,70.04286193847656,120.22887420654297,50.0,50.0,50.0,618.0911254882812,50.0,50.0,50.0,50.0,50.0,0.15968574583530426,0.002583056455478072,0.31109073758125305,0.4653521478176117,0.0,0.0029600150883197784,0.21901914477348328,0.0026108017191290855,0.3619849383831024,0.0028090826235711575,79.0832290649414,68.79814147949219,60.4426383972168,-0.0,78.65565490722656,67.43757629394531,58.61239242553711,59.734153747558594,70.24017333984375,0.204276442527771,21.4024658203125,28.12710952758789,-0.0,0.23282192647457123,14.770120620727539,0.15302534401416779,21.62286376953125,0.1973104476928711,38260.1875,18150.150390625,11414.1513671875,-0.0,37806.8359375,18452.900390625,26631.478515625,13448.705078125,32466.587890625
2006-11-02 22:47:55,3261078.75,808354304.0,30682.5,1817257.5,78.11073303222656,45.9964599609375,31.368242263793945,-0.0,77.61920928955078,51.12238311767578,57.90016555786133,37.053619384765625,69.25,119.77946472167969,50.0,50.0,50.0,617.9722900390625,50.0,50.0,50.0,50.0,50.0,0.1660735309123993,0.002599680796265602,0.3252633512020111,0.47771167755126953,0.0,0.002980925375595689,0.2321690171957016,0.0026291802059859037,0.37460386753082275,0.002831044839695096,78.3143310546875,68.16949462890625,60.05924606323242,-0.0,77.85127258300781,66.58025360107422,58.052799224853516,59.24824142456055,69.44660186767578,0.2035922408103943,22.173038482666016,28.691001892089844,-0.0,0.23206885159015656,15.45787239074707,0.1526312679052353,22.19462013244629,0.19660645723342896,38032.19140625,17601.5546875,11059.6123046875,-0.0,37550.76171875,17920.1484375,26487.056640625,13049.173828125,32239.7421875
